Region,Category,Name,Price,Image URL,Link
UK,Lighting,,89,https://www.ikea.com/gb/en/images/products/malm-dressing-table-white__1400013_pe968487_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/malm-dressing-table-white-10203610/
UK,Lighting,"Regular price: £179
£ 179",150,https://www.ikea.com/gb/en/images/products/brimnes-wardrobe-with-3-doors-white__0176787_pe329567_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/brimnes-wardrobe-with-3-doors-white-40407922/
UK,Lighting,,55,https://www.ikea.com/gb/en/images/products/lack-wall-shelf-unit-white__0246565_pe385541_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/lack-wall-shelf-unit-white-60282186/
UK,Lighting,"Regular price: £115
£ 115",99,https://www.ikea.com/gb/en/images/products/kleppstad-wardrobe-with-3-doors-white__0753594_pe748782_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kleppstad-wardrobe-with-3-doors-white-00441758/
UK,Lighting,"Regular price: £99
£ 99",89,https://www.ikea.com/gb/en/images/products/malm-chest-of-4-drawers-white__0484879_pe621344_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/malm-chest-of-4-drawers-white-30403571/
UK,Lighting,,3,https://www.ikea.com/gb/en/images/products/droena-box-dark-grey__0386600_pe558365_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/droena-box-dark-grey-10443974/
UK,Lighting,"Regular price: £79
£ 79",65,https://www.ikea.com/gb/en/images/products/kleppstad-wardrobe-with-2-doors-white__0733324_pe748781_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kleppstad-wardrobe-with-2-doors-white-80437234/
UK,Lighting,"Regular price: £69
£ 69",62,https://www.ikea.com/gb/en/images/products/kullen-chest-of-5-drawers-white__0393316_pe562524_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kullen-chest-of-5-drawers-white-20393662/
UK,Lighting,,165,https://www.ikea.com/gb/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/lagkapten-alex-desk-white-s99431982/
UK,Lighting,"Regular price: £149
£ 149",129,https://www.ikea.com/gb/en/images/products/malm-chest-of-6-drawers-white__0484884_pe621348_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/malm-chest-of-6-drawers-white-60403584/
Germany,Beds,,29,https://www.ikea.com/de/de/images/products/nissafors-servierwagen-schwarz__0672522_pe716744_s5.jpg?f=xxs,https://www.ikea.com/de/de/p/nissafors-servierwagen-schwarz-20399777/
Germany,Beds,,9,https://www.ikea.com/de/de/images/products/vesken-rollwagen-weiss__0832009_pe777548_s5.jpg?f=xxs,https://www.ikea.com/de/de/p/vesken-rollwagen-weiss-00471222/
Germany,Beds,,349,https://www.ikea.com/de/de/images/products/tornviken-kuecheninsel-elfenbeinweiss-eiche__0736817_pe740760_s5.jpg?f=xxs,https://www.ikea.com/de/de/p/tornviken-kuecheninsel-elfenbeinweiss-eiche-40391657/
Germany,Beds,,29,https://www.ikea.com/de/de/images/products/raskog-servierwagen-weiss__1366921_pe957210_s5.jpg?f=xxs,https://www.ikea.com/de/de/p/raskog-servierwagen-weiss-00586789/
Germany,Beds,,29,https://www.ikea.com/de/de/images/products/raskog-servierwagen-graugruen__1366914_pe957203_s5.jpg?f=xxs,https://www.ikea.com/de/de/p/raskog-servierwagen-graugruen-50591769/
Germany,Beds,,29,https://www.ikea.com/de/de/images/products/nissafors-servierwagen-beige__1264622_pe927346_s5.jpg?f=xxs,https://www.ikea.com/de/de/p/nissafors-servierwagen-beige-40585801/
